2025-12-01 10:28:34,297 - INFO - 
   mean radius  mean texture  mean perimeter  mean area  ...  worst concavity  worst concave points  worst symmetry  worst fractal dimension
0        17.99         10.38          122.80     1001.0  ...           0.7119                0.2654          0.4601                  0.11890
1        20.57         17.77          132.90     1326.0  ...           0.2416                0.1860          0.2750                  0.08902
2        19.69         21.25          130.00     1203.0  ...           0.4504                0.2430          0.3613                  0.08758
3        11.42         20.38           77.58      386.1  ...           0.6869                0.2575          0.6638                  0.17300
4        20.29         14.34          135.10     1297.0  ...           0.4000                0.1625          0.2364                  0.07678

[5 rows x 30 columns]
2025-12-01 10:28:34,316 - INFO - 
       mean radius  mean texture  mean perimeter  ...  worst concave points  worst symmetry  worst fractal dimension
count   569.000000    569.000000      569.000000  ...            569.000000      569.000000               569.000000
mean     14.127292     19.289649       91.969033  ...              0.114606        0.290076                 0.083946
std       3.524049      4.301036       24.298981  ...              0.065732        0.061867                 0.018061
min       6.981000      9.710000       43.790000  ...              0.000000        0.156500                 0.055040
25%      11.700000     16.170000       75.170000  ...              0.064930        0.250400                 0.071460
50%      13.370000     18.840000       86.240000  ...              0.099930        0.282200                 0.080040
75%      15.780000     21.800000      104.100000  ...              0.161400        0.317900                 0.092080
max      28.110000     39.280000      188.500000  ...              0.291000        0.663800                 0.207500

[8 rows x 30 columns]
2025-12-01 10:28:34,316 - INFO - Статистика меток:
2025-12-01 10:28:34,316 - INFO - Уникальные значения: [0 1]
2025-12-01 10:28:34,317 - INFO - Распределение по классам:
1    357
0    212
Name: count, dtype: int64
2025-12-01 10:28:34,336 - INFO - 
       mean radius  mean texture  mean perimeter  ...  worst concave points  worst symmetry  worst fractal dimension
count   569.000000    569.000000      569.000000  ...            569.000000      569.000000               569.000000
mean      0.338222      0.323965        0.332935  ...              0.393836        0.263307                 0.189596
std       0.166787      0.145453        0.167915  ...              0.225884        0.121954                 0.118466
min       0.000000      0.000000        0.000000  ...              0.000000        0.000000                 0.000000
25%       0.223342      0.218465        0.216847  ...              0.223127        0.185098                 0.107700
50%       0.302381      0.308759        0.293345  ...              0.343402        0.247782                 0.163977
75%       0.416442      0.408860        0.416765  ...              0.554639        0.318155                 0.242949
max       1.000000      1.000000        1.000000  ...              1.000000        1.000000                 1.000000

[8 rows x 30 columns]
2025-12-01 10:28:34,336 - INFO - Запустили пайплайн с ядром gaussian!
2025-12-01 10:28:36,681 - INFO - Минимальный эмпирический риск = 0.0211 достигается при k = 20
2025-12-01 10:28:59,160 - INFO - размер множества omega: 568, время итерации: 20.348546764005732
2025-12-01 10:29:19,242 - INFO - размер множества omega: 567, время итерации: 20.082145559004857
2025-12-01 10:29:39,212 - INFO - размер множества omega: 566, время итерации: 19.969578199998068
2025-12-01 10:29:59,225 - INFO - размер множества omega: 565, время итерации: 20.012851870000304
2025-12-01 10:30:19,260 - INFO - размер множества omega: 564, время итерации: 20.0349665390022
2025-12-01 10:30:39,183 - INFO - размер множества omega: 563, время итерации: 19.923098590996233
2025-12-01 10:30:59,146 - INFO - размер множества omega: 562, время итерации: 19.96316899699741
2025-12-01 10:31:19,066 - INFO - размер множества omega: 561, время итерации: 19.919941526997718
2025-12-01 10:31:38,911 - INFO - размер множества omega: 560, время итерации: 19.844329455998377
2025-12-01 10:31:58,698 - INFO - размер множества omega: 559, время итерации: 19.787030220002634
2025-12-01 10:32:18,425 - INFO - размер множества omega: 558, время итерации: 19.727151172999584
2025-12-01 10:32:37,964 - INFO - размер множества omega: 557, время итерации: 19.538575477003178
2025-12-01 10:32:57,530 - INFO - размер множества omega: 556, время итерации: 19.56569219600351
2025-12-01 10:33:17,208 - INFO - размер множества omega: 555, время итерации: 19.677869294995617
2025-12-01 10:33:36,813 - INFO - размер множества omega: 554, время итерации: 19.605577832000563
2025-12-01 10:33:56,311 - INFO - размер множества omega: 553, время итерации: 19.49735311599943
2025-12-01 10:34:16,057 - INFO - размер множества omega: 552, время итерации: 19.746259186002135
2025-12-01 10:34:35,348 - INFO - размер множества omega: 551, время итерации: 19.290943583000626
2025-12-01 10:34:54,616 - INFO - размер множества omega: 550, время итерации: 19.267854600002465
2025-12-01 10:35:13,813 - INFO - размер множества omega: 549, время итерации: 19.19667039399792
2025-12-01 10:35:32,931 - INFO - размер множества omega: 548, время итерации: 19.1182245050004
2025-12-01 10:35:51,881 - INFO - размер множества omega: 547, время итерации: 18.949859264001134
2025-12-01 10:36:10,741 - INFO - размер множества omega: 546, время итерации: 18.86010876099317
2025-12-01 10:36:29,690 - INFO - размер множества omega: 545, время итерации: 18.948538974000257
2025-12-01 10:36:48,544 - INFO - размер множества omega: 544, время итерации: 18.854189154997584
2025-12-01 10:37:07,386 - INFO - размер множества omega: 543, время итерации: 18.841993328998797
2025-12-01 10:37:26,261 - INFO - размер множества omega: 542, время итерации: 18.874710758995207
2025-12-01 10:37:44,898 - INFO - размер множества omega: 541, время итерации: 18.6371462360039
